Street,City,propertycard__detailvalue,quartos,banheiros,vagas,price
Avenida Itacira,Planalto Paulista,1000,4,8,6,7000000
Rua Aurelia Perez Alvarez,Jardim dos Estados,496,4,4,4,3700000
Rua Alba Valdez,Jardim Reimberg,125,4,3,2,380000
Jardim Morumbi São Paulo,SP,310,3,2,4,685000
Rua Tobias Barreto,Mooca,100,3,2,2,540000
Rua Graham Bell,Santo Amaro,440,4,4,6,1980000
Rua Francisco Paulo,Cidade Mãe do Céu,145,4,4,2,850000
Rua Guilherme Valente,Jardim Vergueiro,150,2,2,2,450000
Rua Sagrada Família,Jardim Benfica,48,2,1,1,199900
Rua Tapaji,Vila Alpina,114,3,3,2,585000
Rua Vigário João Álvares,Vila Monumento,261,4,4,3,700000
Jardim Luzitânia São Paulo,SP,436,4,3,3,15000
Rua Tuim,Vila Uberabinha,193,3,3,2,2500000
Rua Antônio Pereira Mendes,Jardim Prudência,251,3,5,4,1700000
Rua João Antunes Carvalho,Lauzane Paulista,300,4,5,4,1150000
Rua Rúben Dario Almonacid,"São Paulo II, Cotia",500,3,5,6,1999000
Rua Timbé,Jardim Santa Maria,135,3,3,2,550000
Rua João Tauler,Vila Nova,180,4,2,4,420000
Rua Alice Garcia Vega,Itaberaba,300,3,5,4,2232000
Rua Graham Bell,Santo Amaro,772,7,7,6,2700000
Avenida Antônio Joaquim de Moura Andrade,Vila Nova Conceição,605,3,3,4,4190000
Rua Marcos Fernandes,Jardim da Saúde,110,3,2,5,860000
Estrada Tenente Marques,"Vila Poupança, Santana de Parnaíba",80,2,2,2,375000
Rua José Leão dos Santos,Jardim Santo Antônio,250,4,4,4,650000
Rua Jaime Pinto Ferreira,Vila Mazzei,120,2,1,1,490000
Rua Aldo de Azevedo,Vila Madalena,170,2,2,1,1485000
Rua Antônio Wey,Jardim Ivana,250,3,1,5,650000
Rua João Francisco de Moura,Vila Campo Grande,110,3,3,2,550000
Rua Serra de Botucatu,Vila Gomes Cardim,120,3,2,2,1100000
Rua Andrade Neves,Bela Aliança,502,4,6,4,2985000
Rua Japeacaba,Vila Albertina,268,3,6,4,1700000
Rua Senador Vergueiro,Santo Amaro,355,4,7,4,3100000
Rua dos Plátanos,Cidade Jardim,1195,4,4,6,8700000
Parque da Lapa São Paulo,SP,220,4,4,3,849000
Rua Domingos Menezes,Vila Libanesa,320,5,4,6,890000
Rua Manuel Monteiro,Cidade Domitila,180,3,3,4,550000
Rua Serra da Sentinela,Vila Nova Savoia,325,4,6,3,1650000
Avenida Maria Estela,Jardim Maria Estela,110,2,1,1,445000
Rua Professor Ciro Formicola,Parque São Rafael,125,2,1,2,425000
Rua Elias Gannam,Vila Bandeirantes,120,2,3,2,500000
Rua Zacarias de Gois,Parque Colonial,138,3,1,3,1060000
Rua Gregório Paes de Almeida,Vila Madalena,401,5,9,4,3890000
Avenida das Magnólias,Cidade Jardim,420,4,4,4,2200000
Rua Mata Machado,Vila Califórnia,260,4,4,4,1250000
Rua Alfonso de Albuquerque,Jardim das Imbuias,200,3,5,3,1250000
Rua Vicente Góes e Aranha,Vila Tramontano,463,4,6,6,2200000
Avenida Presidente Tancredo Neves,Vila Nancy,132,2,1,1,390000
Rua Antônio Assumpção,Parada Inglesa,154,2,4,4,650000
Rua Lauro Luchesi,Jardim Leonor Mendes de Barros,300,4,4,3,1600000
Rua Artur Montenegro,A,250,2,2,2,370000
Avenida Dom Rodrigo Sanches,Jardim Amália,120,2,2,1,130000
Rua Domingos de Braga,Vila dos Remédios,110,3,3,2,545000
Rua Kansas,Brooklin Paulista,180,3,3,3,1100000
Rua Comendador Armando Pereira,Tremembé,151,3,3,8,520000
Rua Santo Adauto,Vila Minerva,170,3,2,2,325000
Rua dos Maracujás,Vila Mazzei,211,4,7,8,890000
Avenida Raimundo Pereira de Magalhães,Pirituba,102,3,4,2,409000
